uid	name	rank	parent	description	last_modified	common_name	species_count	split1	short_description

1	Stenopsocidae	family	Psocodea	Barklice in this family live on tree bark, rocks, or leaf litter, feeding on algae, fungi, and detritus; they are soft-bodied with long antennae and are mostly found in tropical regions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Narrow barklice	2	0	Barklice in this family live on tree bark, rocks, or leaf litter, feeding on algae, fungi, and detritus; they are soft-bodied with long antennae and are mostly found in tropical regions.

2	Noctuidae	family	Lepidoptera	One of the largest moth families, Noctuidae includes many agricultural pests; larvae are typically leaf-feeding caterpillars, and adults are robust, dull-colored nocturnal fliers with keen sensory adaptations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Owlet moths	6	0	One of the largest moth families, Noctuidae includes many agricultural pests; larvae are typically leaf-feeding caterpillars, and adults are robust, dull-colored nocturnal fliers with keen sensory adaptations.

3	Phlaeothripidae	family	Thysanoptera	This diverse thrips family includes species that feed on fungi, decaying matter, or plant tissues; many exhibit tube-shaped abdomens and form colonies in rolled leaves or galls. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Tube-tailed thrips	3	0	This diverse thrips family includes species that feed on fungi, decaying matter, or plant tissues; many exhibit tube-shaped abdomens and form colonies in rolled leaves or galls.

4	Ephemerellidae	family	Ephemeroptera	This mayfly family is found in clean, flowing freshwater habitats, with nymphs adapted for clinging to substrates and adults emerging in synchronized swarms; they play a key role in aquatic food webs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Spiny crawler mayflies	4	0	This mayfly family is found in clean, flowing freshwater habitats, with nymphs adapted for clinging to substrates and adults emerging in synchronized swarms; they play a key role in aquatic food webs.

5	Garypidae	family	Pseudoscorpiones	Small arachnids with pincer-like pedipalps, members of this family are typically found under rocks or bark in dry regions, preying on small arthropods and using silk only in specific life stages. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Garypid pseudoscorpions	2	0	Small arachnids with pincer-like pedipalps, members of this family are typically found under rocks or bark in dry regions, preying on small arthropods and using silk only in specific life stages.

6	Paradoxosomatidae	family	Polydesmida	These cylindrical millipedes have well-defined body segments with lateral keels and inhabit leaf litter or soil; they are detritivores that play a key role in nutrient cycling in forest ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Flat-backed millipedes	3	0	These cylindrical millipedes have well-defined body segments with lateral keels and inhabit leaf litter or soil; they are detritivores that play a key role in nutrient cycling in forest ecosystems.

7	Cantharidae	family	Coleoptera	Cantharidae, or soldier beetles, are a family of soft-bodied beetles often found in gardens and fields. They are named for their resemblance to soldiers, with many species exhibiting bright colors. Soldier beetles are beneficial as they feed on pest insects and pollinate plants. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Soldier beetles	1	0	Cantharidae, or soldier beetles, are a family of soft-bodied beetles often found in gardens and fields.

8	Hymenopodidae	family	Mantodea	Hymenopodidae includes a group of mantis-like insects found in tropical and subtropical regions. Known for their specialized forelegs used for prey capture, they exhibit remarkable camouflage resembling leaves and twigs, aiding in predation. These insects are important predators in their ecosystems, feeding on various invertebrates. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Flower mantises	4	0	Hymenopodidae includes a group of mantis-like insects found in tropical and subtropical regions.

9	Lycidae	family	Coleoptera	Family of net-winged beetles characterized by their bright colors and reticulate wing covers, often found on flowers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Net-winged beetles	1	0	Family of net-winged beetles characterized by their bright colors and reticulate wing covers, often found on flowers.

10	Embiidae	family	Embioptera	Family of web-spinning insects known as 'webspinners,' living in large communal silk nests and feeding on plant materials. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	webspinners	5	0	Family of web-spinning insects known as 'webspinners,' living in large communal silk nests and feeding on plant materials.

11	Dicyrtomidae	family	Hexapoda	Family of globular springtails often brightly colored, playing key roles in soil ecosystems as decomposers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	globular springtails	2	0	Family of globular springtails often brightly colored, playing key roles in soil ecosystems as decomposers.

12	Araneidae	family	Araneae	Order of orb-weaving spiders known for intricate, wheel-shaped webs and a wide range of prey-capturing strategies. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Orb-weaver spiders	4	0	Order of orb-weaving spiders known for intricate, wheel-shaped webs and a wide range of prey-capturing strategies.

13	Sciaridae	family	Diptera	Sciaridae, commonly known as fungus gnats, are small dark-winged flies that play an important role in the decomposition of organic matter. Their larvae are often found in decaying plant material and soil, where they feed on fungi and detritus, contributing to nutrient recycling in ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	dark-winged fungus gnats	4	0	Sciaridae, commonly known as fungus gnats, are small dark-winged flies that play an important role in the decomposition of organic matter.

14	Withiidae	family	Pseudoscorpiones	Withiidae is a diverse family of pseudoscorpions that dwell in moist microhabitats like leaf litter and under bark in tropical regions. They are generalist predators of mites and tiny arthropods, aiding in decomposition processes. Many species display phoresy, riding on larger insects for dispersal, and use venomous pedipalps for subduing prey. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	cave pseudoscorpions	1	0	Withiidae is a diverse family of pseudoscorpions that dwell in moist microhabitats like leaf litter and under bark in tropical regions.

15	Daphniidae	family	Cladocera	Family of freshwater cladocerans commonly known as water fleas, essential primary consumers in freshwater food webs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	water fleas	20	0	Family of freshwater cladocerans commonly known as water fleas, essential primary consumers in freshwater food webs.

16	Halictophagidae	family	Strepsiptera	Halictophagidae is a family of twisted-wing parasites that exhibit a unique parasitic lifecycle. These parasites are typically found in other insect hosts, where they manipulate the behavior of their host to ensure their survival and reproduction. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	stylopid wasps	2	0	Halictophagidae is a family of twisted-wing parasites that exhibit a unique parasitic lifecycle.

17	Behningiidae	family	Ephemeroptera	Order of burrowing mayflies with specialized, tusk-like mandibles adapted for digging into soft sediment. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	sand-burrowing mayflies	1	0	Order of burrowing mayflies with specialized, tusk-like mandibles adapted for digging into soft sediment.

18	Tricorythidae	family	Ephemeroptera	Tricorythidae consists of delicate mayflies whose aquatic larvae thrive in slow-flowing tropical streams with clean water. The larvae feed on detritus and algae, playing a role in nutrient cycling. Adults are ephemeral, non-feeding, and serve as prey for fish and birds, with larval forms recognized by their gill structures and slender build. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Little Stout Crawler Mayflies	1	0	Tricorythidae consists of delicate mayflies whose aquatic larvae thrive in slow-flowing tropical streams with clean water.

19	Buprestidae	family	Coleoptera	Order of beetles famous for their iridescent exoskeletons and wood-boring larvae that contribute to forest decomposition. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	jewel beetles	1	0	Order of beetles famous for their iridescent exoskeletons and wood-boring larvae that contribute to forest decomposition.

20	Gomphidae	family	Odonata	Family of clubtail dragonflies, recognizable by their swollen abdominal segments and aquatic nymphs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	clubtail dragonflies	1	0	Family of clubtail dragonflies, recognizable by their swollen abdominal segments and aquatic nymphs.

21	Scutigeridae	family	Lithobiomorpha	Family of centipedes known as house centipedes, notable for their long legs and speed. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	house centipedes	2	0	Family of centipedes known as house centipedes, notable for their long legs and speed.

22	Nymphalidae	family	Lepidoptera	Large and diverse family of butterflies including monarchs, admirals, and fritillaries, often with colorful wings. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	brush-footed butterflies	14	0	Large and diverse family of butterflies including monarchs, admirals, and fritillaries, often with colorful wings.

23	Cytheridae	family	Podocopida	Family of marine and brackish water ostracods, often used in paleoenvironmental reconstructions due to their fossil record. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	benthic ostracods	1	0	Family of marine and brackish water ostracods, often used in paleoenvironmental reconstructions due to their fossil record.

24	Lachesillidae	family	Psocodea	An order (often considered a family) of booklice characterized by small size and affinity for living in bark, leaf litter, or indoor environments. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	fateful barklice	2	0	An order (often considered a family) of booklice characterized by small size and affinity for living in bark, leaf litter, or indoor environments.

25	Vespidae	family	Hymenoptera	Family of social wasps and hornets, many of which build paper nests and play ecological roles as predators and pollinators. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	wasps, hornets, and yellowjackets	7	0	Family of social wasps and hornets, many of which build paper nests and play ecological roles as predators and pollinators.

26	Saturniidae	family	Lepidoptera	Family of large, colorful moths, including giant silk moths, known for their impressive wingspans and dramatic eyespots. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	giant silk moths	6	0	Family of large, colorful moths, including giant silk moths, known for their impressive wingspans and dramatic eyespots.

27	Libellulidae	family	Odonata	Libellulidae, commonly known as skimmers, are a family of dragonflies characterized by their active flying behavior and broad, hindwings. These dragonflies are often found near freshwater environments, where they play an important role in controlling insect populations, including mosquitoes. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	skimmer dragonflies	7	0	Libellulidae, commonly known as skimmers, are a family of dragonflies characterized by their active flying behavior and broad, hindwings.

28	Sclerosomatidae	family	Opiliones	Sclerosomatidae is a family of harvestmen or daddy longlegs, known for their elongated bodies and long legs. These arachnids are typically found in a variety of habitats, where they scavenge on small invertebrates, fungi, and plant matter. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	long-legged harvestmen	3	0	Sclerosomatidae is a family of harvestmen or daddy longlegs, known for their elongated bodies and long legs.

